Gene_001	Sample_001	Sample_002	Sample_003	Sample_004	Sample_005	Sample_006	Sample_007	Sample_008	Sample_009	Sample_010	Sample_011	Sample_012	Sample_013	Sample_014	Sample_015
Gene_002	92103.38237	99443.02547	87210.75407	51500.97741	122863.9687	46676.47627	41616.08897	114862.9533	27917.9565	45803.61944	125910.0115	69983.44137	95814.8604	78085.70578	84227.89221
Gene_003	4499.105387	31723.63279	4986.346222	1106.097787	287.4041231	117.0032615	245.5079151	32740.13921	32337.22024	26048.63861	34242.60605	11211.1235	8741.878186	83922.41938	1140.492445
Gene_004	16302.28448	17153.04143	14478.2156	65167.70846	87492.786	57496.82066	79647.03931	0	0	0	0	0	0	467.7341255	388.2298233
Gene_005	42979.67491	0	0	0	0	0	0	0	54624.73087	0	0	61227.40006	7503.217897	0	70415.97309
Gene_006	494165.9364	508473.3809	488612.8747	1350381.215	2957424.423	1998442.676	2526070.65	0	0	0	0	0	0	0	4046.358706
Gene_007	89345.7919	93210.60975	95198.51053	0	0	0	0	348767.8727	290824.6605	208055.4014	358420.551	141331.1456	37388.91389	24436.66825	18685.33197
Gene_008	175665.3174	179804.8098	197657.0228	193423.9596	1268011.298	323658.2507	772751.022	0	0	5850.615671	0	43772.05171	25598.33275	70145.44573	19629.33325
Gene_009	47718.35393	51239.57626	41041.35132	76529.82544	79870.42315	75991.99696	81707.59679	38403.54117	39660.22733	23661.8792	19407.85905	21546.9081	183062.3728	26916.79945	25654.57167
Gene_010	39241.78565	47846.52173	34011.10671	216.8620988	32.21814597	152.1814029	8.031859605	34457.73941	37933.16473	36171.95009	31341.15178	50036.38553	59862.77859	106047.6877	67331.18053
Gene_011	803045.2496	801334.7609	729168.5676	2323067.986	2457847.885	2934105.673	1970068.616	222387.3783	257339.5761	0	225702.5259	18393.96393	13827.40585	4970.719725	71299.69405
Gene_012	91707.16262	90814.38555	109279.7606	88359.53231	183914.3836	161185.383	195856.1327	40018.91753	50479.01	46348.8109	45984.16859	72538.95995	156796.5705	63995.82625	110721.9487
Gene_013	485031.8215	498778.5748	479200.867	0	0	0	0	575805.1754	129452.8522	280916.1894	630585.5895	115247.2641	504912.6704	1603388.379	1314618.394
