Metabolite_001	Sample_001	Sample_002	Sample_003	Sample_004	Sample_005	Sample_006	Sample_007	Sample_008	Sample_009	Sample_010	Sample_011	Sample_012	Sample_013	Sample_014	Sample_015
Metabolite_002	144.4611128	12.43644843	0.0066	0.0059	0.0086	0.0093	0.0095	0.0079	0.0065	0.0082	0.007	0.5368	0.3165	0.4022	0.4358
Metabolite_003	120.0002772	5.539789249	0.0523	0.0676	0.0844	0.0809	0.0867	0.0607	0.0493	0.0853	0.0655	101.9931	148.2835	157.7948	119.7368
Metabolite_004	348.5633632	111.9661208	0.0185	0.0164	0.0193	0.0135	0.0131	0.0115	0.0126	0.018	0.0146	0.6262	0.3582	0.7375	0.5657
Metabolite_005	44.49650306	9.257297721	0.0066	0.005	0.0063	0.0049	0.0048	0.0049	0.0045	0.005	0.0044	114.335	98.8703	166.319	68.2495
Metabolite_006	20.41658074	0.600758183	0.1421	0.0992	0.1601	0.0639	0.0366	0.0776	0.0508	0.1029	0.0679	0.2769	0.1787	0.251	0.1292
Metabolite_007	177.681712	61.83568174	0.0265	0.0165	0.022	0.0085	0.0055	0.0122	0.0077	0.0167	0.0108	247.6852	189.3268	265.5092	144.7052
Metabolite_008	35.22435214	7.293965006	2.9591	2.9835	5.0769	1.5311	0.3558	1.5999	0.9496	3.5288	1.9179	2.3746	1.1042	1.9472	1.0692
Metabolite_009	35.46494286	6.105371907	0.7037	0.7353	0.8158	0.9583	0.8677	0.7538	0.7944	0.794	0.8499	10.0468	3.5213	8.6132	1.7417
Metabolite_010	14.80270776	0.673211992	3.1725	3.1682	4.0862	1.7178	0.5382	1.7764	1.5702	2.3129	2.4861	4.3216	4.5845	4.7025	2.2788
Metabolite_011	13.47028566	2.009888303	0.5671	0.8176	0.6547	0.9935	0.8261	0.8395	0.6446	0.5851	0.8055	2.3695	1.6021	3.658	2.3138
Metabolite_012	16.58070637	1.222217261	179.2219	182.4313	227.6718	148.7306	26.9998	139.1562	113.8184	200.4284	157.1547	0.336	0.4764	0.4137	0.2077
Metabolite_013	3.750538602	0.668680584	4.645	9.1606	13.9217	3.4415	0.9963	3.1314	2.5545	12.377	7.9343	5.0243	8.1074	10.4533	5.6196
Metabolite_014	3.75071199	0.100417307	3.7751	5.3721	6.0471	3.4132	0.7032	3.5383	3.2118	3.8747	3.5177	1.5235	0.733	1.1611	0.7636
Metabolite_015	0.2755	1.1928	0.8836	1.648	1.1884	0.6197	0.3174	0.3917	0.3947	0.3389	0.3947	4.6494	6.8781	10.7815	5.5973
Metabolite_016	0.307	2.2592	1.6912	5.816	4.3647	3.5343	17.3754	120.7274	100.9181	137.9233	107.9125	0.5543	0.298	0.3388	0.3963
Metabolite_017	0.9912	2.54	1.5006	4.7941	3.0378	5.454	0.3272	0.6098	0.1482	0.3585	0.3437	0.5809	1.0458	1.4383	0.7955
Metabolite_018	0.2577	2.3416	2.4765	3.5999	2.8629	24.4958	16.0877	67.6608	49.4649	133.334	92.4015	0.3475	0.1614	0.2759	0.1305
Metabolite_019	0.0375	0.1906	0.1625	0.3299	0.2551	16.3589	0.0527	0.1533	0.1588	0.252	0.1321	132.5144	205.4254	262.2114	188.0385
Metabolite_020	0.5008	4.3929	4.0064	11.0154	5.9769	9.1971	21.0883	140.4429	136.2409	238.5811	199.1267	0.1316	0.1104	0.1411	0.1391
Metabolite_021	0.123	0.72	0.3969	0.8151	0.6853	28.4553	0.0258	0.0889	0.0334	0.1666	0.103	0.4451	3.387	5.2431	8.403
Metabolite_022	0.5036	3.3845	3.5118	9.1351	7.1975	7.2342	0.1293	0.5119	0.3436	0.5669	0.4559	0.6612	6.8445	4.133	17.9627
Metabolite_023	0.0469	0.423	0.1909	0.3604	0.2894	40.2448	0.105	1.8983	1.9721	1.9074	2.4579	1.1874	10.6581	7.2784	30.703
Metabolite_024	0.189	0.6579	0.5731	1.074	0.7973	5.6038	0.5226	6.1644	3.1729	4.9209	5.5405	5.9383	31.3945	35.5537	46.8859
Metabolite_025	0.0366	0.1264	0.1076	0.137	0.1563	3.2184	2.7673	28.3307	14.1302	24.7019	24.7902	7.8786	6.0522	11.0404	13.9317
Metabolite_026	18.3499	185.7014	158.8291	240.7028	180.7107	12.4425	2.7489	15.8656	13.0879	20.6942	16.2294	11.9258	45.4736	49.1722	65.1938
Metabolite_027	4.6074	7.6628	13.2256	13.7266	15.8688	7.6697	2.3314	9.1683	6.5406	17.5403	12.3997	0.7627	7.3066	4.722	8.3805
Metabolite_028	2.8845	15.0516	10.0014	23.7375	23.7375	46.2127	3.3172	27.8958	24.3056	42.4301	32.4473	4.7364	39.3342	35.1854	61.3465
