Metabolite	VIP	GroupA_1	GroupA_2	GroupA_3	GroupA_4	GroupA_5	GroupA_6	GroupB_1	GroupB_2	GroupB_3	GroupB_4	GroupB_5	GroupB_6
Metabolite_001	1.918	3484455.864	4014731.744	3579893.767	1783230.714	397530.801	3397695.554	2000754.246	4331856.146	4929640.333	1159648.469	2756193.799	3005923.693
Metabolite_002	1.914	3997790.347	697306.374	103061.389	3318114.827	4743862.006	3711680.916	1307600.071	3758183.22	3137967.22	3404444.302	386544.594	1410855.017
Metabolite_003	1.887	220607.054	2848645.12	2429051.213	1669828.888	3630921.74	2653565.056	644372.66	3374594.784	4692839.037	333551.774	1378198.6	2702244.954
Metabolite_004	1.81	2441200.258	1112003.809	1178582.537	1019686.484	797242.048	3333208.403	2010972.733	3128287.579	2386010.241	3534180.129	2046044.571	3947929.189
Metabolite_005	1.796	3816451.734	724905.086	1961101.035	3933242.076	2791494.815	4126846.755	2902483.039	1923966.495	2093479.707	1824254.328	1068949.21	923497.972
Metabolite_006	1.778	1160398.886	3791208.535	3102577.916	558615.435	4775047.069	3952779.603	1162774.538	2696194.861	3330228.589	2103825.59	4176445.058	2081555.987
Metabolite_007	1.598	1659086.937	4485722.26	1823809.755	2387217.304	2968868.43	4901127.395	2279363.21	4385943.48	846498.423	4122661.487	849147.392	2410723.76
Metabolite_008	1.387	1234966.348	1934867.602	644563.579	2606376.754	2082100.381	2253214.528	1168154.277	2950575.489	2907048.585	4602401.006	4036750.856	4353723.354
Metabolite_009	1.188	799720.11	3359064.454	1293735.416	3039945.9	3274678.049	1627340.79	2561267.86	4214862.047	1269757.532	1484388.818	2779448.167	4635968.984
Metabolite_010	1.148	2131277.045	564719.239	3373472.378	1730835.348	1667121.024	2106427.268	1834132.402	1630996.008	4815558.789	4809413.489	3345356.446	4421690.041
Metabolite_011	1.103	2127249.199	1981451.225	2146469.22	2494203.865	1607828.053	151288.848	3284927.278	3570622.579	3046692.057	3669132.699	941322.62	3403515.528
Metabolite_012	0.968	1907342.71	1444479.858	3962159.587	4776921.755	1176861.393	1000862.668	1936098.387	1398587.25	2623645.664	3463237.902	3201971.263	4755818.199
Metabolite_013	0.961	846979.264	4091736.191	604036.757	2466221.746	1910495.443	4229373.663	1841682.366	3012281.651	2072609.377	358935.32	1628161.759	2630579.982
Metabolite_014	0.877	780149.711	2297730.073	2230974.433	4462716.088	4922674.097	1232692.732	2715070.933	2458320.022	4413208.052	2036578.66	3650316.297	2924943.204
Metabolite_015	0.723	1241867.087	4069315.33	4926289.202	4580747.116	855591.274	1271589.783	3727638.366	1398660.384	1884050.137	2441442.361	2054805.141	1748022.909
Metabolite_016	0.646	2383216.006	4080708.597	4475950.461	3082801.413	546115.599	475786.71	1183404.395	2866493.13	1512372.475	2845240.992	4849846.415	1801890.694
Metabolite_017	0.568	1403265.938	3992277.373	4443698.398	2112379.905	795343.848	1304046.022	2122455.981	4574622.293	936161.652	3521481.815	4840252.016	198119.073
Metabolite_018	0.296	4303355.805	2255175.269	957757.986	820763.986	3481034.797	3687462.507	1401864.766	4519184.509	943641.557	4586849.338	3660842.441	2563783.924
Metabolite_019	0.187	324572.717	3796928.277	740408.889	4682969.036	3134356.769	4252520.509	3186867.962	1443416.445	2462008.767	3129921.014	1360362.058	4368112.727
Metabolite_020	0.18	2266780.364	3183183.545	3300199.433	1576021.61	4467831.174	2537883.609	1000759.605	1675265.506	1339528.15	2199265.393	1186760.88	130873.841
