Metabolite	QC_01	QC_02	QC_03	GroupA_1	GroupA_2	GroupA_3	GroupA_4	GroupB_1	GroupB_2	GroupB_3	GroupB_4	GroupC_1	GroupC_2	GroupC_3	GroupC_4
Metabolite_001	27014.804	70331.592	102806.536	12294.399	36635.428	113934.964	84266.031	46909.246	102820.718	25682.568	126959.739	17905.77	193895.804	173562.421	162599.19
Metabolite_002	49997.341	90502.758	114326.588	20044.787	136114.474	139234.513	75901.557	118382.949	24235.258	39913.226	80369.787	152132.278	149000.575	82575.975	148078.887
Metabolite_003	149261.501	18162.663	134042.271	40976.675	72599.522	163486.406	59522.235	91239.959	35618.268	61370.786	172201.57	184542.99	47311.334	64592.172	105605.298
Metabolite_004	171905.373	34562.031	188636.891	141147.324	112873.312	22283.337	131131.37	112102.785	149182.546	122397.883	100457.369	72391.8	138884.466	135591.717	93092.425
Metabolite_005	159795.6	24594.738	86274.162	89898.456	195884.83	98041.129	162806.161	183805.359	38551.359	128739.582	104512.192	73624.627	37558.977	136678.29	192450.642
Metabolite_006	73072.394	24899.718	166083.18	161382.002	25365.316	44152.857	197613.787	63834.127	22348.834	166853.446	70714.9	43621.178	84209.516	194654.407	64416.514
Metabolite_007	25662.22	120670.748	111318.111	164822.446	110517.57	110218.332	128404.205	182960.516	115573.745	87319.912	75153.642	43473.757	158309.727	191241.743	113490.573
Metabolite_008	64250.12	113379.612	93733.977	106993.113	85534.343	124081.402	167795.669	50909.886	114582.404	28561.314	190548.379	146179.136	167028.449	12504.308	55966.003
Metabolite_009	55125.622	102284.232	196425.256	101700.382	154548.403	18786.181	178954.371	33694.792	152996.06	173176.615	98873.254	67531.932	47384.836	164852.5	199340.18
Metabolite_010	83194.872	186366.765	168897.958	24622.552	196603.272	59164.906	73569.905	104916.182	24730.31	94147.035	20468.707	189107.363	13717.834	155089.234	78018.962
Metabolite_011	80859.723	175615.855	114138.199	190547.997	162471.016	174918.733	34702.557	156870.088	34333.399	97372.708	36935.302	147909.513	16297.751	97434.488	63542.093
Metabolite_012	51402.626	161714.387	161748.195	73975.2	117873.518	39462.735	84121.257	112280.749	34822.11	81387.649	154243.177	93225.808	88073.349	124900.411	90787.887
Metabolite_013	153469.957	71129.491	113934.82	188791.692	23036.564	26775.187	122745.82	187842.659	192751.105	172967.692	64173.459	143462.866	170143.85	40653.186	54642.849
Metabolite_014	166119.403	90812.392	198685.882	146105.543	45661.643	157123.66	125433.554	132813.864	197637.073	91173.258	105683.971	110390.977	126926.853	68616.568	27524.411
Metabolite_015	123794.451	80549.024	158079.565	24470.572	166056.883	66159.497	29307.976	23890.733	97890.932	171473.655	114779.786	22951.608	135930.996	191529.328	99523.675
Metabolite_016	133696.376	179912.005	160403.041	141442.676	104209.494	52465.298	83077.141	146242.061	73751.929	154414.58	162353.725	191523.497	85653.434	37862.847	139024.927
Metabolite_017	170192.275	186921.743	32784.207	65673.1	116202.088	77573.296	128536.881	178531.122	11926.286	82453.915	112149.566	183385.174	39053.984	124066.264	39658.766
Metabolite_018	96115.247	127275.311	84080.634	190166.32	149743.39	29535.996	16588.818	61022.41	145428.465	111870.129	59905.316	175930.555	37477.647	72132.411	191222.111
Metabolite_019	146183.849	36218.791	135161.42	51852.884	87212.138	131283.676	131397.425	44500.931	116405.257	169694.027	151521.95	152226.332	153342.266	160879.616	56984.473
Metabolite_020	65332.212	58286.724	144250.786	192597.067	186393.942	20897.07	55211.91	170564.87	45757.276	173025.443	92628.677	164883.753	18246.776	153293.108	159867.847
Metabolite_021	44177.796	66710.08	58077.785	92176.861	70424.244	49713.857	105307.147	178151.893	56499.935	56137.175	177732.413	190750.212	86252.153	11637.318	42205.113
Metabolite_022	147131.284	87630.177	35418.956	54703.755	173596.711	134553.848	135213.259	24556.689	39595.958	180074.215	69280.953	169177.358	48268.452	180744.675	165344.107
Metabolite_023	181966.64	62501.813	85766.839	101911.144	57819.581	91450.033	176204.8	92518.556	161401.846	165676.88	151734.242	57172.834	110400.348	116455.044	151845.995
Metabolite_024	94695.667	128941.316	63752.602	92012.02	29440.877	70872.029	10772.214	136826.817	143520.64	105946.047	186401.882	15219.345	144373.272	128691.098	170222.026
Metabolite_025	169334.278	14333.661	152758.789	18106.757	183441.821	33855.364	68848.799	69010.232	177862.467	179305.8	153951.001	164457.53	123758.929	15401.038	161055.207
Metabolite_026	143663.638	72420.092	163102.698	119752.453	161194.805	44502.7	173663.991	128629.972	39570.177	145374.291	34411.918	50322.626	183603.204	179266.114	170055.253
Metabolite_027	190676.509	127124.252	164868.827	185872.636	185020.416	112283.834	53242.707	21179.972	128120.256	155857.968	65265.027	111200.325	30814.492	190682.995	117956.454
Metabolite_028	132198.913	89643.377	143050.165	198225.639	138096.663	32218.111	193701.062	29111.924	85626.481	113675.145	16821.658	88109.963	40464.008	156220.603	177349.255
Metabolite_029	24215.773	117870.748	149047.661	103483.008	54051.161	160551.821	28959.496	78691.01	21522.488	71060.981	105363.256	91736.105	100557.515	141294.151	50875
Metabolite_030	58163.171	110906.988	71098.478	178179.007	43608.612	58878.166	10927.487	181493.476	130110.676	14395.413	134887.145	10055.714	22928.113	199055.871	126965.988
Metabolite_031	195108.258	193404.746	155872.306	125236.737	98900.84	169064.523	38707.014	39145.768	80450.142	179715.23	184045.929	151482.287	78024.104	96646.201	130352.704
Metabolite_032	51287.774	171033.41	62423.308	187928.732	66715.804	45506.997	127587.954	181216.816	177947.013	11908.774	62954.688	61343.298	57237.299	188413.895	163345.642
Metabolite_033	192172.148	58342.354	74550.478	96457.886	160306.429	162488.651	13634.805	177832.938	24997.965	90229.592	167308.479	52600.764	28860.921	162312.922	99748.303
Metabolite_034	105352.652	24422.024	139997.875	34509.173	86171.028	197855.76	11524.235	141357.646	137755.18	164982.88	77642.339	99181.507	94439.597	53341.283	29807.976
Metabolite_035	133652.149	94403.789	188668.632	47298.259	141550.842	178406.655	73655.597	122230.653	40155.511	37346.434	138945.202	149117.177	88777.254	102512.62	48179.404
Metabolite_036	190177.204	10286.884	188983.796	197379.158	21617.716	184245.561	33717.081	71978.357	172844.83	121673.736	154157.487	195906.331	65513.371	135048.356	35121.41
Metabolite_037	197852.461	73800.2	144137.528	38619.436	175204.674	24405.374	51531.45	29300.907	11980.492	125225.507	114288.101	196261.6	72604.033	34210.125	78119.255
Metabolite_038	184441.751	81065.28	169686.624	141254.431	175722.622	172969.566	59657.317	93621.395	140168.856	17940.242	53387.392	169477.908	72437.938	192257.229	191076.984
Metabolite_039	188212.671	102064.6	146435.408	121692.149	92080.358	35737.429	91294.361	153543.329	166946.982	70034.099	161525.163	33864.407	131276.457	106443.944	179556.809
Metabolite_040	110383.678	124546.561	153347.252	120904.927	118000.001	106117.805	141085.747	175602.042	69269.128	65904.584	12606.093	163542.994	30874.177	109404.108	41868.08
