A_vs_B	C_vs_D	Group3	classC
Compound_001	Compound_002	Compound_003	Compound_004
Compound_005	Compound_006	Compound_007	Compound_008
Compound_009	Compound_010	Compound_011
Compound_012	Compound_013	Compound_014	Compound_015
Compound_016	Compound_017	Compound_018	Compound_019
Compound_020	Compound_021	Compound_018	Compound_022
Compound_023	Compound_024	Compound_025	Compound_026
Compound_027	Compound_028	Compound_029	Compound_008
Compound_030	Compound_031	Compound_032	Compound_033
Compound_034	Compound_035	Compound_029	Compound_008
Compound_036	Compound_037	Compound_018	Compound_022
Compound_038	Compound_039	Compound_029	Compound_008
Compound_040	Compound_041	Compound_029	Compound_008
Compound_042	Compound_043	Compound_044	Compound_045
Compound_046	Compound_047	Compound_014	Compound_048
Compound_049	Compound_050	Compound_051
Compound_052	Compound_053	Compound_054	Compound_055
Compound_056	Compound_057	Compound_044	Compound_045
Compound_058	Compound_059	Compound_060	Compound_061
Compound_062	Compound_063	Compound_029	Compound_008
Compound_064	Compound_065	Compound_066	Compound_067
Compound_068	Compound_069	Compound_070	Compound_071
Compound_072	Compound_073	Compound_025	Compound_074
Compound_075	Compound_076	Compound_077	Compound_078
Compound_079	Compound_080	Compound_025	Compound_074
Compound_081	Compound_082	Compound_083	Compound_084
Compound_085	Compound_086	Compound_083	Compound_087
Compound_088	Compound_089	Compound_044	Compound_090
Compound_091	Compound_092	Compound_093	Compound_094
Compound_095	Compound_096	Compound_029	Compound_097
Compound_098	Compound_099	Compound_018	Compound_100
Compound_101	Compound_102	Compound_018	Compound_022
Compound_103	Compound_104	Compound_066
Compound_105	Compound_106	Compound_107	Compound_108
Compound_109	Compound_110	Compound_025	Compound_111
